Identifier,StructureData,,,,,,,,,,
Entry ID,PubMed Central ID,PubMed ID,Ligand,Value,Symbol,Type,Unit,PDB ID,Molecular Weight per Deposited Model,Stucture Keywords,
"5KO1","PMC5104457",27832137,"6UY",230,,"Kd","nM","5KO1",32.6,"MEMBRANE PROTEINS/INHIBITOR"
,,,"6UY",230,,"Kd","nM"
"5KO8","PMC5330855",28157283,"IYR",8200,,"Kd","nM","5KO8",53.86,"OXIDOREDUCTASE"
,,,"IYR",8200,,"Kd","nM"
"5KOX","PMC5076826",27557658,"RFP",13000,,"Kd","nM","5KOX",53.33,"OXIDOREDUCTASE"
"5KQ5",,27490827,"6VT",5.599999904632568,,"EC50","nM","5KQ5",120.43,"TRANSFERASE"
,,,"6VT",3.299999952316284,,"EC50","nM"
,,,"6VT",7,,"EC50","nM"
,,,"6VT",28,,"EC50","nM"
,,,"6VT",9,,"Kd","nM"
,,,"6VT",4.199999809265137,,"EC50","nM"
,,,"6VT",1.899999976158142,,"EC50","nM"
,,,"6VT",400,,"IC50","nM"
,,,"6VT",7,,"EC50","nM"
,,,"6VT",8.199999809265137,,"EC50","nM"
"5KQX","PMC5077208",27576689,"ROC",-65.23522186279297,,"-T&Delta;S","kJ/mol","5KQX",22.12,"HYDROLASE/HUDROLASE INHIBITOR"
,,,"ROC",-30.113149642944336,,"-T&Delta;S","kJ/mol"
,,,"ROC",78.44000244140625,,"Ki","nM"
,,,"ROC",-65.65263366699219,,"-T&Delta;S","kJ/mol"
,,,"ROC",10.031999588012695,,"&Delta;H","kJ/mol"
,,,"ROC",-59.3914794921875,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.3149999976158142,,"Kd","nM"
,,,"ROC",-55.634788513183594,,"-T&Delta;S","kJ/mol"
,,,"ROC",270,,"IC50","nM"
,,,"ROC",35.529998779296875,,"&Delta;H","kJ/mol"
,,,"ROC",9.196000099182129,,"&Delta;H","kJ/mol"
,,,"ROC",-66.4874496459961,,"-T&Delta;S","kJ/mol"
,,,"ROC",-55.59400177001953,,"&Delta;G","kJ/mol"
,,,"ROC",12.121999740600586,,"&Delta;H","kJ/mol"
,,,"ROC",-71.10877227783203,,"-T&Delta;S","kJ/mol"
,,,"ROC",-76.9525146484375,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.3100000023841858,,"Kd","nM"
,,,"ROC",8.399999618530273,,"IC50","nM"
,,,"ROC",-65.23522186279297,,"-T&Delta;S","kJ/mol"
,,,"ROC",-12.121999740600586,,"&Delta;H","kJ/mol"
,,,"ROC",-60.64371109008789,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.4000000059604645,,"IC50","nM"
,,,"ROC",-58.58647537231445,,"-T&Delta;S","kJ/mol"
,,,"ROC",-60.19200134277344,,"&Delta;G","kJ/mol"
,,,"ROC",-80.29179382324219,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.1899999976158142,,"Ki","nM"
,,,"ROC",13.793999671936035,,"&Delta;H","kJ/mol"
,,,"ROC",48,,"Ki","nM"
,,,"ROC",-64.81781005859375,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.6499999761581421,,"Ki","nM"
,,,"ROC",14.630000114440918,,"&Delta;H","kJ/mol"
,,,"ROC",-41.79999923706055,,"&Delta;G","kJ/mol"
,,,"ROC",0.20000000298023224,,"Ki","nM"
,,,"ROC",-53.08599853515625,,"&Delta;G","kJ/mol"
,,,"ROC",-43.91749572753906,,"-T&Delta;S","kJ/mol"
,,,"ROC",16,,"IC50","nM"
,,,"ROC",-54.757999420166016,,"&Delta;G","kJ/mol"
,,,"ROC",3.700000047683716,,"Ki","nM"
,,,"ROC",-77.36992645263672,,"-T&Delta;S","kJ/mol"
,,,"ROC",0.23000000417232513,,"IC50","nM"
,,,"ROC",-61.47853088378906,,"-T&Delta;S","kJ/mol"
,,,"ROC",89.52999877929688,,"Ki","nM"
,,,"ROC",117,,"Ki","nM"
,,,"ROC",-57.30442810058594,,"-T&Delta;S","kJ/mol"
,,,"ROC",-57.683998107910156,,"&Delta;G","kJ/mol"
,,,"ROC",0.03999999910593033,,"Ki","nM"
,,,"ROC",0.3400000035762787,,"IC50","nM"
,,,"ROC",-43.08267593383789,,"-T&Delta;S","kJ/mol"
,,,"ROC",11,,"IC50","nM"
,,,"ROC",-51.41400146484375,,"&Delta;G","kJ/mol"
,,,"ROC",0.20000000298023224,,"IC50","nM"
,,,"ROC",-79.03956604003906,,"-T&Delta;S","kJ/mol"
,,,"ROC",-55.634788513183594,,"-T&Delta;S","kJ/mol"
,,,"ROC",-8.359999656677246,,"&Delta;H","kJ/mol"
,,,"ROC",8.359999656677246,,"&Delta;H","kJ/mol"
,,,"ROC",-71.49636840820312,,"-T&Delta;S","kJ/mol"
